name;address;$rel_CategoryAgency_label_category;$rel_Department_code_department;latitude;longitude
POITIERS;6 Rue de la Clergeonnerie 86000 Poitiers;Downtown;86;46.5839207726;0.359947653003
DRAGUIGNAN;174 Boulevard Léo Lagrange 83300 Draguignan;Downtown;83;43.5357513285;6.45436569191
CALAIS;5 Rue Ossip Zadkine 62100 Calais;Downtown;62;50.9502072754;1.87575566132
ANTIBES;385 Chemin de Rabiac Estagnol 06600 Antibes;Downtown;6;43.587465146;7.10635418256
VILLEURBANNE;211 Rue Francis de Pressensé 69100 Villeurbanne;Downtown;69;45.7707704179;4.88845817426
CRETEIL;20 Avenue de la Brèche 94000 Créteil;Downtown;94;48.7837401836;2.45463530415
SAINT-CHAMOND;9b Route de Saint -Etienne 42400 Saint-Chamond;Downtown;42;45.4698319517;4.50184989506
EVRY;6 Boulevard du Maréchal Leclerc 91000 Évry-Courcouronnes;Downtown;91;48.6294831659;2.44008244492
DREUX;11 Rue des Livraindières 28100 Dreux;Downtown;28;48.7485203213;1.35931854112
MARSEILLE-10E--ARRONDISSEMENT;14 Traverse Chevalier 13010 Marseille;Downtown;13;43.2755155435;5.42681101081
MARSEILLE--8E--ARRONDISSEMENT;1 Boulevard de Lorraine 13008 Marseille;Downtown;13;43.2417271832;5.37464436293
SAINT-MAUR-DES-FOSSES;68 Avenue Miss Cavell 94100 Saint-Maur-des-Fossés;Downtown;94;48.7990677797;2.49386450452
CREIL;28 Rue Vincent Auriol 60100 Creil;Downtown;60;49.2533487138;2.48472669359
MARCQ-EN-BAROEUL;8 Rue Alexandre Desrousseaux 59700 Marcq-en-Barœul;Downtown;59;50.6753348557;3.10093583816
BRIVE-LA-GAILLARDE;15 Chemin de Bassaler 19100 Brive-la-Gaillarde;Downtown;19;45.1435830664;1.51936836063
ROSNY-SOUS-BOIS;Avenue Lech Walesa 93110 Rosny-sous-Bois;Downtown;93;48.8745763768;2.4863404591
LILLE;112 Rue Meurein 59800 Lille;Downtown;59;50.6317183168;3.04783272312
PONTAULT-COMBAULT;14 Rue Aristide Briand 77340 Pontault-Combault;Downtown;77;48.7871411658;2.61407436985
VINCENNES;37 Rue Raymond du Temple 94300 Vincennes;Downtown;94;48.8473732045;2.43798650741
VILLEJUIF;1bis Rue Jules Joffrin 94800 Villejuif;Downtown;94;48.7928547268;2.36006103249
DIJON;3bis Place Grangier 21000 Dijon;Downtown;21;47.3229437965;5.03788805877
CHOISY-LE-ROI;53 Av de Villeneuve Saint Georges 94600 Choisy-le-Roi;Downtown;94;48.764315118;2.41742518222
CHALONS-EN-CHAMPAGNE;12 Rue Georges Bizet 51000 Châlons-en-Champagne;Downtown;51;48.9640892125;4.37883539725
SAINT-JOSEPH;76 Chemin de Cap Blanc 97480 Saint-Joseph;Downtown;974;-21.3063550443;55.6420686506
PARIS-17E-ARRONDISSEMENT;91 Rue de Tocqueville 75017 Paris;Downtown;75;48.8873371665;2.30748555949
NANTES;Chemin Tournerond 44000 Nantes;Downtown;44;47.2316356767;-1.54831008605
MONTIGNY-LE-BRETONNEUX;Les Quatre Paves 78180 Montigny-le-Bretonneux;Downtown;78;48.779658781;2.02952194549
PARIS-3E-ARRONDISSEMENT;30 Rue Pastourelle 75003 Paris;Downtown;75;48.8630541318;2.35936105897
PARIS-6E-ARRONDISSEMENT;94 Rue Bonaparte 75006 Paris;Downtown;75;48.8489680919;2.33267089859
EPINAY-SUR-SEINE;1 Chemin des Anciens Pres 93800 Épinay-sur-Seine;Downtown;93;48.9550132062;2.31453043231
LYON--5E--ARRONDISSEMENT;10 Rue des Granges 69005 Lyon;Downtown;69;45.7558317849;4.8022536949
TALENCE;2 Rue Michel Slitinsky 33400 Talence;Downtown;33;44.8060817507;-0.591124592873
IVRY-SUR-SEINE;83 Avenue Georges Gosnat 94200 Ivry-sur-Seine;Downtown;94;48.8128063812;2.38778023612
SAINT-DENIS;38 Rue Pinel 93200 Saint-Denis;Downtown;93;48.9295650455;2.3592429975
TOULON;52 Rue de l’Iseran 83000 Toulon;Downtown;83;43.1361589728;5.93239634249
FORT-DE-FRANCE;5 Rue Paul et Marie Valere 97200 Fort-de-France;Downtown;972;14.6411114389;-61.0691889244
CORBEIL-ESSONNES;8 Place Lèon Cassé 91100 Corbeil-Essonnes;Downtown;91;48.6034809251;2.46934079002
POISSY;79 Rue de Villiers 78300 Poissy;Downtown;78;48.9235359371;2.02715552772
BASTIA;50 Route de Pietra Rossa 20200 Bastia;Downtown;2;42.6864768806;9.42502133338
SAINT-ETIENNE;22 Rue Malescourt 42000 Saint-Étienne;Downtown;42;45.4301235512;4.37913997076
SAINT-GERMAIN-EN-LAYE;Pavillon Croix de Noailles (Saint-Germain-en-Laye) 78100 Saint-Germain-en-Laye;Downtown;78;48.9407041394;2.09870929375
LYON--3E--ARRONDISSEMENT;49 Avenue Lacassagne 69003 Lyon;Downtown;69;45.7533552486;4.86918522013
SAINT-ANDRE;62 Rue Arc En Ciel 97440 Saint-André;Downtown;974;-20.9630406732;55.6427328786
SAINT-PRIEST;46 Rue de la Croix Rousse 69800 Saint-Priest;Downtown;69;45.701466556;4.94882071665
SAINT-PIERRE;270 Route Nationale 3 97410 Saint-Pierre;Downtown;974;-21.3123242427;55.4936155164
NOISY-LE-SEC;51 Boulevard Michelet 93130 Noisy-le-Sec;Downtown;93;48.891322463;2.45913647372
CHERBOURG-OCTEVILLE;22 Rue Henri Menut 50100 Cherbourg-en-Cotentin;Downtown;50;49.633412156;-1.63390160204
LE PORT;3a Boulevard des Mascareignes 97420 Le Port;Downtown;974;-20.9448851377;55.305326715
PARIS-14E-ARRONDISSEMENT;205 Avenue du Maine 75014 Paris;Downtown;75;48.8289932116;2.32710088326
